card,job_id,company,title,stratum,overlap,wildcard,glad_i_saw_this,already_found_myself,stretch_too_big,notes
J1,15508f16-d6b2-469e-9958-d64134db0dd9,Neon One (via Highlight Talent),Lead Instructional Designer,title_family,strong,False,,,,
J2,c2e78a13-222d-44a2-8311-e9cd85eea852,WRITER,"Senior AI Learning Designer, Rapid Content",title_family,strong,False,,,,
J3,0f6b2a78-eaba-48a1-974e-beba4a9ce90d,Samsara,Senior Scaled Customer Education Specialist,recall_title,strong,False,,,,
J4,fd47785f-ab5e-4559-bcd5-3d83ae067770,Harris Computer,Sr Product Trainer,description_family,strong,False,,,,
J5,5af73c33-97ce-4f57-815d-e59e0b012f1d,Seven AI,Sales Enablement Specialist,description_family,strong,True,,,,
J6,1c4f636b-0107-48db-b1fd-44e298a97323,Payscale,Senior Revenue Enablement Manager,description_family,strong,True,,,,
J7,fca7449d-f88b-4985-989f-4af1742f1e4e,Wiz,Senior Technical Enablement Program Manager,description_family,partial,True,,,,
J8,5aee02e0-9027-47c5-bc1a-ae0175912a19,Brightspeed,Senior Content Designer,recall_title,strong,False,,,,
J9,c6e39b2a-f947-4b53-8d4a-6d412f45d810,Excelsior University,Instructional Designer,recall_title,strong,False,,,,
J10,bb8b1f47-a77b-465d-ad98-1edfd5450181,Vultr,"Senior Manager, Product Enablement",description_family,partial,True,,,,
J11,edc540da-e8d1-4960-8dcf-cda104bc7f20,Mariner,Learning Management Specialist,description_family,partial,False,,,,
J12,42c9ea18-8f42-4f21-aaef-d485f739abe7,ServiceNow,Community Web Manager,description_family,partial,True,,,,
J13,c9138b14-16d1-434d-b583-f9c0760612d0,AKQA,Senior Content Strategist - Freelance,title_family,strong,False,,,,
J14,2737cc57-3fa7-42d7-b475-cc394fd4892f,Blend360,Marketing Enablement Manager,description_family,partial,False,,,,
J15,7255a2b8-5099-4fab-94bd-b50f9f786193,Fetch,"Senior Sales Enablement Manager, SMB & Mid-Market",description_family,partial,False,,,,
