card,job_id,company,title,stratum,overlap,wildcard,off_major_boards,glad_i_saw_this,already_found_myself,notes
1,851985369,Springboard,Content Development Manager,title_family,strong,False,False,,,"Card was off: listing is limited to CA, FL, TX, MA, AZ, NY & IL, which leaves out MD, so it should have been filtered. Rule: if a posting lists allowed states, MD has to be one of them."
2,852286299,ZipLiens,Director of Onboarding & Enablement (Remote),description_family,strong,True,True,,,
3,851383703,NICE,"Senior Education Professional, Development",description_family,strong,False,False,,,
4,850792055,Veeva Systems,Technical Curriculum Developer - AI Agents - Remote,title_family,strong,False,False,,,
5,852046205,Blue Cross and Blue Shield of North Carolina,Senior Digital Product Analyst,wildcard,strong,True,False,,,
6,852083080,Save the Children,"Senior Lead, AI, Digital and Data Capacity Development",wildcard,partial,True,False,,,
7,852201874,Citian,Customer Education Specialist,title_family,strong,False,False,,,
8,851123114,Edgewater Technical Associates,Training Developer,title_family,strong,False,False,,,
9,852286164,Fortra,Offensive Security Training Content Developer,title_family,strong,False,True,,,
10,851544831,Accenture,Senior Program Manager- AI Learning Operations,title_family,partial,False,False,,,
11,851470103,Crew,AI SDLC Enablement Consultant,title_family,partial,False,False,,,
12,849294484,Commerce,Technical Training Content Developer,title_family,strong,False,False,,,
13,852034349,Arrow Electronics,Customer Success Content & Enablement Manager,title_family,strong,False,False,,,
14,850576240,A T Still University Of Health Sciences,CGHS - Instructional Designer (remote),title_family,strong,False,False,,,
15,851194095,Shipley Associates,Business Development Course Developer,description_family,strong,False,False,,,
16,852195306,Khan Academy,"Interim Associate Manager, Email Marketing (3-month contract, $42/hour, 20 hours/week)",description_family,partial,True,True,,,
17,850645504,Ladders,Sr Manager of Curriculum and Instruction (Remote),title_family,strong,False,False,,,
18,850033302,AfterQuery,Technical Content Writer (Contract),title_family,partial,False,True,,,
19,851058374,White Circle,Content Lead,title_family,partial,False,False,,,
20,850274105,HCA Healthcare,Training Developer,title_family,strong,False,False,,,
